
 -500; Elise Anna von Möwenburg; 1; Johann Justus von Tiefenfels; 1; Natalie  von Eichenwald; 1; Elisabeth Nelania von Bergetal; 21; Niroi Jacques von Kisatris; 1
 -352; Jakob Theodor Richard von Möwenburg; 9; Christian Johann Carl Julien von Tiefenfels; 3; Dior Elurin Hans von Eichenwald; 63; Edda Auguste von Bergetal; 22; Charlotte von Kisatris; 8
 -351; Jakob Theodor Richard von Möwenburg; 10; Christian Johann Carl Julien von Tiefenfels; 4; Dior Elurin Hans von Eichenwald; 64; Edda Auguste von Bergetal; 23; Charlotte von Kisatris; 9
 -350; Jakob Theodor Richard von Möwenburg; 11; Maximilian von Tiefenfels; 1; Dior Elurin Hans von Eichenwald; 65; Edda Auguste von Bergetal; 24; Charlotte von Kisatris; 10
 -349; Jakob Theodor Richard von Möwenburg; 12; Maximilian von Tiefenfels; 2; Dior Elurin Hans von Eichenwald; 66; Edda Auguste von Bergetal; 25; Charlotte von Kisatris; 11
 -348; Jakob Theodor Richard von Möwenburg; 13; Maximilian von Tiefenfels; 3; Dior Elurin Hans von Eichenwald; 67; Edda Auguste von Bergetal; 26; Charlotte von Kisatris; 12
 -347; Jakob Theodor Richard von Möwenburg; 14; Maximilian von Tiefenfels; 4; Dior Elurin Hans von Eichenwald; 68; Edda Auguste von Bergetal; 27; Charlotte von Kisatris; 13
 -346; Jakob Theodor Richard von Möwenburg; 15; Maximilian von Tiefenfels; 5; Dior Elurin Hans von Eichenwald; 69; Edda Auguste von Bergetal; 28; Charlotte von Kisatris; 14
 -345; Jakob Theodor Richard von Möwenburg; 16; Maximilian von Tiefenfels; 6; Dior Elurin Hans von Eichenwald; 70; Edda Auguste von Bergetal; 29; Charlotte von Kisatris; 15
 -344; Jakob Theodor Richard von Möwenburg; 17; Maximilian von Tiefenfels; 7; Dior Elurin Hans von Eichenwald; 71; Edda Auguste von Bergetal; 30; Charlotte von Kisatris; 16
 -343; Jakob Theodor Richard von Möwenburg; 18; Maximilian von Tiefenfels; 8; Dior Elurin Hans von Eichenwald; 72; Edda Auguste von Bergetal; 31; Charlotte von Kisatris; 17
 -342; Jakob Theodor Richard von Möwenburg; 19; Maximilian von Tiefenfels; 9; Dior Elurin Hans von Eichenwald; 73; Edda Auguste von Bergetal; 32; Louise von Kisatris; 1
 -341; Jakob Theodor Richard von Möwenburg; 20; Maximilian von Tiefenfels; 10; Dior Elurin Hans von Eichenwald; 74; Edda Auguste von Bergetal; 33; Louise von Kisatris; 2
 -340; Jakob Theodor Richard von Möwenburg; 21; Maximilian von Tiefenfels; 11; Dior Elurin Hans von Eichenwald; 75; Edda Auguste von Bergetal; 34; Louise von Kisatris; 3
 -339; Jakob Theodor Richard von Möwenburg; 22; Juliane Clara von Tiefenfels; 1; Dior Elurin Hans von Eichenwald; 76; Edda Auguste von Bergetal; 35; Louise von Kisatris; 4
 -338; Jakob Theodor Richard von Möwenburg; 23; Anton Julius von Tiefenfels; 1; Hubertus Elurin von Eichenwald; 1; Edda Auguste von Bergetal; 36; Louise von Kisatris; 5
 -337; Jakob Theodor Richard von Möwenburg; 24; Anton Julius von Tiefenfels; 2; Hubertus Elurin von Eichenwald; 2; Edda Auguste von Bergetal; 37; Louise von Kisatris; 6
 -336; Jakob Theodor Richard von Möwenburg; 25; Anton Julius von Tiefenfels; 3; Hubertus Elurin von Eichenwald; 3; Edda Auguste von Bergetal; 38; Louise von Kisatris; 7
 -335; Jakob Theodor Richard von Möwenburg; 26; Anton Julius von Tiefenfels; 4; Hubertus Elurin von Eichenwald; 4; Edda Auguste von Bergetal; 39; Louise von Kisatris; 8
 -334; Jakob Theodor Richard von Möwenburg; 27; Anton Julius von Tiefenfels; 5; Hubertus Elurin von Eichenwald; 5; Edda Auguste von Bergetal; 40; Louise von Kisatris; 9
 -333; Jakob Theodor Richard von Möwenburg; 28; Anton Julius von Tiefenfels; 6; Hubertus Elurin von Eichenwald; 6; Edda Auguste von Bergetal; 41; Louise von Kisatris; 10
 -332; Jakob Theodor Richard von Möwenburg; 29; Anton Julius von Tiefenfels; 7; Hubertus Elurin von Eichenwald; 7; Edda Auguste von Bergetal; 42; Louise von Kisatris; 11
 -331; Jakob Theodor Richard von Möwenburg; 30; Anton Julius von Tiefenfels; 8; Hubertus Elurin von Eichenwald; 8; Edda Auguste von Bergetal; 43; Louise von Kisatris; 12
 -330; Jakob Theodor Richard von Möwenburg; 31; Anton Julius von Tiefenfels; 9; Hubertus Elurin von Eichenwald; 9; Edda Auguste von Bergetal; 44; Zoe Louise Emma Friederike von Kisatris; 1
 -329; Jakob Theodor Richard von Möwenburg; 32; Anton Julius von Tiefenfels; 10; Hubertus Elurin von Eichenwald; 10; Edda Auguste von Bergetal; 45; Zoe Louise Emma Friederike von Kisatris; 2
 -328; Jakob Theodor Richard von Möwenburg; 33; Anton Julius von Tiefenfels; 11; Hubertus Elurin von Eichenwald; 11; Edda Auguste von Bergetal; 46; Zoe Louise Emma Friederike von Kisatris; 3
 -327; Jakob Theodor Richard von Möwenburg; 34; Anton Christoph Georg Paul von Tiefenfels; 1; Hubertus Elurin von Eichenwald; 12; Edda Auguste von Bergetal; 47; Zoe Louise Emma Friederike von Kisatris; 4
 -326; Jakob Theodor Richard von Möwenburg; 35; Sibylle Marie von Tiefenfels; 1; Hubertus Elurin von Eichenwald; 13; Edda Auguste von Bergetal; 48; Zoe Louise Emma Friederike von Kisatris; 5
 -325; Maria von Möwenburg; 1; Sibylle Marie von Tiefenfels; 2; Hubertus Elurin von Eichenwald; 14; Edda Auguste von Bergetal; 49; Zoe Louise Emma Friederike von Kisatris; 6
 -324; Maria von Möwenburg; 2; Sibylle Marie von Tiefenfels; 3; Hubertus Elurin von Eichenwald; 15; Edda Auguste von Bergetal; 50; Zoe Louise Emma Friederike von Kisatris; 7
 -323; Maria von Möwenburg; 3; Maximilian Wilhelm Anton von Tiefenfels; 1; Hubertus Elurin von Eichenwald; 16; Edda Auguste von Bergetal; 51; Zoe Louise Emma Friederike von Kisatris; 8
 -322; Maria von Möwenburg; 4; Maximilian Wilhelm Anton von Tiefenfels; 2; Hubertus Elurin von Eichenwald; 17; Edda Auguste von Bergetal; 52; Zoe Louise Emma Friederike von Kisatris; 9
 -321; Anna von Möwenburg; 1; Maximilian Wilhelm Anton von Tiefenfels; 3; Hubertus Elurin von Eichenwald; 18; Edda Auguste von Bergetal; 53; Zoe Louise Emma Friederike von Kisatris; 10
 -320; Anna von Möwenburg; 2; Maximilian Wilhelm Anton von Tiefenfels; 4; Hubertus Elurin von Eichenwald; 19; Edda Auguste von Bergetal; 54; Zoe Louise Emma Friederike von Kisatris; 11
 -319; Anna von Möwenburg; 3; Wilhelm Jacob von Tiefenfels; 1; Hubertus Elurin von Eichenwald; 20; Edda Auguste von Bergetal; 55; Zoe Louise Emma Friederike von Kisatris; 12
 -318; Anna von Möwenburg; 4; Wilhelm Jacob von Tiefenfels; 2; Hubertus Elurin von Eichenwald; 21; Edda Auguste von Bergetal; 56; Zoe Louise Emma Friederike von Kisatris; 13
 -317; Anna von Möwenburg; 5; Wilhelm Jacob von Tiefenfels; 3; Hubertus Elurin von Eichenwald; 22; Edda Auguste von Bergetal; 57; Zoe Louise Emma Friederike von Kisatris; 14
 -316; Anna von Möwenburg; 6; Wilhelm Jacob von Tiefenfels; 4; Hubertus Elurin von Eichenwald; 23; Edda Auguste von Bergetal; 58; Zoe Louise Emma Friederike von Kisatris; 15
 -315; Anna von Möwenburg; 7; Wilhelm Jacob von Tiefenfels; 5; Hubertus Elurin von Eichenwald; 24; Clara Sophia von Bergetal; 1; Zoe Louise Emma Friederike von Kisatris; 16
 -314; Anna von Möwenburg; 8; Wilhelm Jacob von Tiefenfels; 6; Hubertus Elurin von Eichenwald; 25; Eleonore Wilhelmine Nelenia Christiane von Bergetal; 1; Zoe Louise Emma Friederike von Kisatris; 17
 -313; Anna von Möwenburg; 9; Wilhelm Jacob von Tiefenfels; 7; Hubertus Elurin von Eichenwald; 26; Eleonore Wilhelmine Nelenia Christiane von Bergetal; 2; Zoe Louise Emma Friederike von Kisatris; 18
 -312; Anna von Möwenburg; 10; Wilhelm Jacob von Tiefenfels; 8; Hubertus Elurin von Eichenwald; 27; Eleonore Wilhelmine Nelenia Christiane von Bergetal; 3; Zoe Louise Emma Friederike von Kisatris; 19
 -311; Anna von Möwenburg; 11; Wilhelm Jacob von Tiefenfels; 9; Hubertus Elurin von Eichenwald; 28; Eleonore Wilhelmine Nelenia Christiane von Bergetal; 4; Zoe Louise Emma Friederike von Kisatris; 20
 -310; Anna von Möwenburg; 12; Wilhelm Jacob von Tiefenfels; 10; Hubertus Elurin von Eichenwald; 29; Eleonore Wilhelmine Nelenia Christiane von Bergetal; 5; Zoe Louise Emma Friederike von Kisatris; 21
 -309; Anna von Möwenburg; 13; Wilhelm Jacob von Tiefenfels; 11; Anton Ludwig Ferdinand von Eichenwald; 1; Eleonore Wilhelmine Nelenia Christiane von Bergetal; 6; Zoe Louise Emma Friederike von Kisatris; 22
 -308; Anna von Möwenburg; 14; Wilhelm Jacob von Tiefenfels; 12; Anton Ludwig Ferdinand von Eichenwald; 2; Eleonore Wilhelmine Nelenia Christiane von Bergetal; 7; Zoe Louise Emma Friederike von Kisatris; 23
 -307; Anna von Möwenburg; 15; Wilhelm Jacob von Tiefenfels; 13; Anton Ludwig Ferdinand von Eichenwald; 3; Eleonore Wilhelmine Nelenia Christiane von Bergetal; 8; Zoe Louise Emma Friederike von Kisatris; 24
 -306; Anna von Möwenburg; 16; Wilhelm Jacob von Tiefenfels; 14; Joseph Johannes Joachim von Eichenwald; 1; Eleonore Wilhelmine Nelenia Christiane von Bergetal; 9; Zoe Louise Emma Friederike von Kisatris; 25
 -305; Anna von Möwenburg; 17; Wilhelm Jacob von Tiefenfels; 15; Joseph Johannes Joachim von Eichenwald; 2; Eleonore Wilhelmine Nelenia Christiane von Bergetal; 10; Zoe Louise Emma Friederike von Kisatris; 26
 -304; Anna von Möwenburg; 18; Wilhelm Jacob von Tiefenfels; 16; Joseph Johannes Joachim von Eichenwald; 3; Eleonore Wilhelmine Nelenia Christiane von Bergetal; 11; Zoe Louise Emma Friederike von Kisatris; 27
 -303; Anna von Möwenburg; 19; Wilhelm Jacob von Tiefenfels; 17; Joseph Johannes Joachim von Eichenwald; 4; Eleonore Wilhelmine Nelenia Christiane von Bergetal; 12; Zoe Louise Emma Friederike von Kisatris; 28
 -302; Anna von Möwenburg; 20; Wilhelm Jacob von Tiefenfels; 18; Joseph Johannes Joachim von Eichenwald; 5; Eleonore Wilhelmine Nelenia Christiane von Bergetal; 13; Zoe Louise Emma Friederike von Kisatris; 29
 -301; Anna von Möwenburg; 21; Wilhelm Jacob von Tiefenfels; 19; Joseph Johannes Joachim von Eichenwald; 6; Eleonore Wilhelmine Nelenia Christiane von Bergetal; 14; Zoe Louise Emma Friederike von Kisatris; 30
 -300; Anna von Möwenburg; 22; Wilhelm Jacob von Tiefenfels; 20; Joseph Johannes Joachim von Eichenwald; 7; Eleonore Wilhelmine Nelenia Christiane von Bergetal; 15; Zoe Louise Emma Friederike von Kisatris; 31
 -299; Anna von Möwenburg; 23; Wilhelm Jacob von Tiefenfels; 21; Joseph Johannes Joachim von Eichenwald; 8; Eleonore Wilhelmine Nelenia Christiane von Bergetal; 16; Zoe Louise Emma Friederike von Kisatris; 32
 -298; Anna von Möwenburg; 24; Wilhelm Jacob von Tiefenfels; 22; Joseph Johannes Joachim von Eichenwald; 9; Eleonore Wilhelmine Nelenia Christiane von Bergetal; 17; Zoe Louise Emma Friederike von Kisatris; 33
 -297; Anna von Möwenburg; 25; Wilhelm Jacob von Tiefenfels; 23; Joseph Johannes Joachim von Eichenwald; 10; Eleonore Wilhelmine Nelenia Christiane von Bergetal; 18; Zoe Louise Emma Friederike von Kisatris; 34
 -296; Helene von Möwenburg; 1; Wilhelm Jacob von Tiefenfels; 24; Joseph Johannes Joachim von Eichenwald; 11; Eleonore Wilhelmine Nelenia Christiane von Bergetal; 19; Zoe Louise Emma Friederike von Kisatris; 35
 -295; Helene von Möwenburg; 2; Wilhelm Jacob von Tiefenfels; 25; Johannes Hermann Ferdinand von Eichenwald; 1; Eleonore Wilhelmine Nelenia Christiane von Bergetal; 20; Zoe Louise Emma Friederike von Kisatris; 36
 -294; Helene von Möwenburg; 3; Wilhelm Jacob von Tiefenfels; 26; Johannes Hermann Ferdinand von Eichenwald; 2; Eleonore Wilhelmine Nelenia Christiane von Bergetal; 21; Zoe Louise Emma Friederike von Kisatris; 37
 -293; Helene von Möwenburg; 4; Wilhelm Jacob von Tiefenfels; 27; Johannes Hermann Ferdinand von Eichenwald; 3; Eleonore Wilhelmine Nelenia Christiane von Bergetal; 22; Zoe Louise Emma Friederike von Kisatris; 38
 -292; Helene von Möwenburg; 5; Wilhelm Jacob von Tiefenfels; 28; Johannes Hermann Ferdinand von Eichenwald; 4; Eleonore Wilhelmine Nelenia Christiane von Bergetal; 23; Zoe Louise Emma Friederike von Kisatris; 39
 -291; Helene von Möwenburg; 6; Wilhelm Jacob von Tiefenfels; 29; Johannes Hermann Ferdinand von Eichenwald; 5; Eleonore Wilhelmine Nelenia Christiane von Bergetal; 24; Zoe Louise Emma Friederike von Kisatris; 40
 -290; Helene von Möwenburg; 7; Wilhelm Jacob von Tiefenfels; 30; Johannes Hermann Ferdinand von Eichenwald; 6; Eleonore Wilhelmine Nelenia Christiane von Bergetal; 25; Zoe Louise Emma Friederike von Kisatris; 41
 -289; Helene von Möwenburg; 8; Wilhelm Jacob von Tiefenfels; 31; Johannes Hermann Ferdinand von Eichenwald; 7; Eleonore Wilhelmine Nelenia Christiane von Bergetal; 26; Zoe Louise Emma Friederike von Kisatris; 42
 -288; Helene von Möwenburg; 9; Wilhelm Jacob von Tiefenfels; 32; Johannes Hermann Ferdinand von Eichenwald; 8; Anna Henriette von Bergetal; 1; Zoe Louise Emma Friederike von Kisatris; 43
 -287; Helene von Möwenburg; 10; Wilhelm Jacob von Tiefenfels; 33; Johannes Hermann Ferdinand von Eichenwald; 9; Anna Henriette von Bergetal; 2; Camille von Kisatris; 1
 -286; Helene von Möwenburg; 11; Wilhelm Jacob von Tiefenfels; 34; Johannes Hermann Ferdinand von Eichenwald; 10; Anna Henriette von Bergetal; 3; Camille von Kisatris; 2
 -285; Helene von Möwenburg; 12; Wilhelm Jacob von Tiefenfels; 35; Johannes Hermann Ferdinand von Eichenwald; 11; Anna Henriette von Bergetal; 4; Christian Jacob Clement von Kisatris; 1
 -284; Helene von Möwenburg; 13; Wilhelm Jacob von Tiefenfels; 36; Johannes Hermann Ferdinand von Eichenwald; 12; Anna Henriette von Bergetal; 5; Christian Jacob Clement von Kisatris; 2
 -283; Gertrud von Möwenburg; 1; Wilhelm Jacob von Tiefenfels; 37; Johannes Hermann Ferdinand von Eichenwald; 13; Anna Henriette von Bergetal; 6; Christian Jacob Clement von Kisatris; 3
 -282; Gertrud von Möwenburg; 2; Wilhelm Jacob von Tiefenfels; 38; Johannes Hermann Ferdinand von Eichenwald; 14; Anna Henriette von Bergetal; 7; Christian Jacob Clement von Kisatris; 4
 -281; Gertrud von Möwenburg; 3; Wilhelm Jacob von Tiefenfels; 39; Johannes Hermann Ferdinand von Eichenwald; 15; Anna Henriette von Bergetal; 8; Christian Jacob Clement von Kisatris; 5
 -280; Gertrud von Möwenburg; 4; Wilhelm Jacob von Tiefenfels; 40; Johannes Hermann Ferdinand von Eichenwald; 16; Anna Henriette von Bergetal; 9; Christian Jacob Clement von Kisatris; 6
 -279; Gertrud von Möwenburg; 5; Wilhelm Jacob von Tiefenfels; 41; Johannes Hermann Ferdinand von Eichenwald; 17; Anna Henriette von Bergetal; 10; Christian Jacob Clement von Kisatris; 7
 -278; Gertrud von Möwenburg; 6; Wilhelm Jacob von Tiefenfels; 42; Johannes Hermann Ferdinand von Eichenwald; 18; Bernhard Christoph Johannes Hubertus von Bergetal; 1; Christian Jacob Clement von Kisatris; 8
 -277; Gertrud von Möwenburg; 7; Wilhelm Jacob von Tiefenfels; 43; Johannes Hermann Ferdinand von Eichenwald; 19; Bernhard Christoph Johannes Hubertus von Bergetal; 2; Christian Jacob Clement von Kisatris; 9
 -276; Gertrud von Möwenburg; 8; Wilhelm Jacob von Tiefenfels; 44; Johannes Hermann Ferdinand von Eichenwald; 20; Bernhard Christoph Johannes Hubertus von Bergetal; 3; Christian Jacob Clement von Kisatris; 10
 -275; Gertrud von Möwenburg; 9; Wilhelm Jacob von Tiefenfels; 45; Johannes Hermann Ferdinand von Eichenwald; 21; Bernhard Christoph Johannes Hubertus von Bergetal; 4; Christian Jacob Clement von Kisatris; 11
 -274; Gertrud von Möwenburg; 10; Wilhelm Jacob von Tiefenfels; 46; Johannes Hermann Ferdinand von Eichenwald; 22; Bernhard Christoph Johannes Hubertus von Bergetal; 5; Christian Jacob Clement von Kisatris; 12
 -273; Gertrud von Möwenburg; 11; Wilhelm Jacob von Tiefenfels; 47; Johannes Hermann Ferdinand von Eichenwald; 23; Bernhard Christoph Johannes Hubertus von Bergetal; 6; Christian Jacob Clement von Kisatris; 13
 -272; Gertrud von Möwenburg; 12; Andreas Michael Gustav Anton von Tiefenfels; 1; Johannes Hermann Ferdinand von Eichenwald; 24; Bernhard Christoph Johannes Hubertus von Bergetal; 7; Christian Jacob Clement von Kisatris; 14
 -271; Gertrud von Möwenburg; 13; Anne Luca Nelenia von Tiefenfels; 1; Johannes Hermann Ferdinand von Eichenwald; 25; Bernhard Christoph Johannes Hubertus von Bergetal; 8; Christian Jacob Clement von Kisatris; 15
 -270; Gertrud von Möwenburg; 14; Anne Luca Nelenia von Tiefenfels; 2; Johannes Hermann Ferdinand von Eichenwald; 26; Bernhard Christoph Johannes Hubertus von Bergetal; 9; Christian Jacob Clement von Kisatris; 16
 -269; Gertrud von Möwenburg; 15; Anne Luca Nelenia von Tiefenfels; 3; Johannes Hermann Ferdinand von Eichenwald; 27; Bernhard Christoph Johannes Hubertus von Bergetal; 10; Christian Jacob Clement von Kisatris; 17
 -268; Gertrud von Möwenburg; 16; Anne Luca Nelenia von Tiefenfels; 4; Johannes Hermann Ferdinand von Eichenwald; 28; Bernhard Christoph Johannes Hubertus von Bergetal; 11; Christian Jacob Clement von Kisatris; 18
 -267; Gertrud von Möwenburg; 17; Anne Luca Nelenia von Tiefenfels; 5; Johannes Hermann Ferdinand von Eichenwald; 29; Bernhard Christoph Johannes Hubertus von Bergetal; 12; Christian Jacob Clement von Kisatris; 19
 -266; Gertrud von Möwenburg; 18; Anne Luca Nelenia von Tiefenfels; 6; Johannes Hermann Ferdinand von Eichenwald; 30; Bernhard Christoph Johannes Hubertus von Bergetal; 13; Christian Jacob Clement von Kisatris; 20
 -265; Gertrud von Möwenburg; 19; Anne Luca Nelenia von Tiefenfels; 7; Johannes Hermann Ferdinand von Eichenwald; 31; Bernhard Christoph Johannes Hubertus von Bergetal; 14; Christian Jacob Clement von Kisatris; 21
 -264; Gertrud von Möwenburg; 20; Anne Luca Nelenia von Tiefenfels; 8; Johannes Hermann Ferdinand von Eichenwald; 32; Bernhard Christoph Johannes Hubertus von Bergetal; 15; Christian Jacob Clement von Kisatris; 22
 -263; Gertrud von Möwenburg; 21; Anne Luca Nelenia von Tiefenfels; 9; Johannes Hermann Ferdinand von Eichenwald; 33; Bernhard Christoph Johannes Hubertus von Bergetal; 16; Christian Jacob Clement von Kisatris; 23
 -262; Gertrud von Möwenburg; 22; Anne Luca Nelenia von Tiefenfels; 10; Johannes Hermann Ferdinand von Eichenwald; 34; Bernhard Christoph Johannes Hubertus von Bergetal; 17; Christian Jacob Clement von Kisatris; 24
 -261; Gertrud von Möwenburg; 23; Anne Luca Nelenia von Tiefenfels; 11; Johannes Hermann Ferdinand von Eichenwald; 35; Bernhard Christoph Johannes Hubertus von Bergetal; 18; Christian Jacob Clement von Kisatris; 25
 -260; Gertrud von Möwenburg; 24; Anne Luca Nelenia von Tiefenfels; 12; Johannes Hermann Ferdinand von Eichenwald; 36; Bernhard Christoph Johannes Hubertus von Bergetal; 19; Christian Jacob Clement von Kisatris; 26
 -259; Gertrud von Möwenburg; 25; Anne Luca Nelenia von Tiefenfels; 13; Johannes Hermann Ferdinand von Eichenwald; 37; Bernhard Christoph Johannes Hubertus von Bergetal; 20; Christian Jacob Clement von Kisatris; 27
 -258; Gertrud von Möwenburg; 26; Anne Luca Nelenia von Tiefenfels; 14; Johannes Hermann Ferdinand von Eichenwald; 38; Bernhard Christoph Johannes Hubertus von Bergetal; 21; Christian Jacob Clement von Kisatris; 28
 -257; Gertrud von Möwenburg; 27; Anne Luca Nelenia von Tiefenfels; 15; Johannes Hermann Ferdinand von Eichenwald; 39; Bernhard Christoph Johannes Hubertus von Bergetal; 22; Christian Jacob Clement von Kisatris; 29
 -256; Gertrud von Möwenburg; 28; Anne Luca Nelenia von Tiefenfels; 16; Johannes Hermann Ferdinand von Eichenwald; 40; Bernhard Christoph Johannes Hubertus von Bergetal; 23; Christian Jacob Clement von Kisatris; 30
 -255; Franz Bahne Andreas von Möwenburg; 1; Anne Luca Nelenia von Tiefenfels; 17; Johannes Hermann Ferdinand von Eichenwald; 41; Bernhard Christoph Johannes Hubertus von Bergetal; 24; Christian Jacob Clement von Kisatris; 31
 -254; Judith Juna von Möwenburg; 1; Ida Sibylle Anne von Tiefenfels; 1; Hermann Friedrich von Eichenwald; 1; Bernhard Christoph Johannes Hubertus von Bergetal; 25; Christian Jacob Clement von Kisatris; 32
 -253; Judith Juna von Möwenburg; 2; Ida Sibylle Anne von Tiefenfels; 2; Hermann Friedrich von Eichenwald; 2; Bernhard Christoph Johannes Hubertus von Bergetal; 26; Christian Jacob Clement von Kisatris; 33
 -252; Judith Juna von Möwenburg; 3; Ida Sibylle Anne von Tiefenfels; 3; Hermann Friedrich von Eichenwald; 3; Bernhard Christoph Johannes Hubertus von Bergetal; 27; Christian Jacob Clement von Kisatris; 34
 -251; Judith Juna von Möwenburg; 4; Ida Sibylle Anne von Tiefenfels; 4; Hermann Friedrich von Eichenwald; 4; Bernhard Christoph Johannes Hubertus von Bergetal; 28; Christian Jacob Clement von Kisatris; 35
 -250; Judith Juna von Möwenburg; 5; Ida Sibylle Anne von Tiefenfels; 5; Hermann Friedrich von Eichenwald; 5; Bernhard Christoph Johannes Hubertus von Bergetal; 29; Christian Jacob Clement von Kisatris; 36
 -249; Judith Juna von Möwenburg; 6; Ida Sibylle Anne von Tiefenfels; 6; Hermann Friedrich von Eichenwald; 6; Bernhard Christoph Johannes Hubertus von Bergetal; 30; Christian Jacob Clement von Kisatris; 37
 -248; Judith Juna von Möwenburg; 7; Ida Sibylle Anne von Tiefenfels; 7; Hermann Friedrich von Eichenwald; 7; Eleonore Elisabeth Therese Christiane von Bergetal; 1; Christian Jacob Clement von Kisatris; 38
 -247; Judith Juna von Möwenburg; 8; Ida Sibylle Anne von Tiefenfels; 8; Hermann Friedrich von Eichenwald; 8; Eleonore Elisabeth Therese Christiane von Bergetal; 2; Christian Jacob Clement von Kisatris; 39
 -246; Judith Juna von Möwenburg; 9; Ida Sibylle Anne von Tiefenfels; 9; Hermann Friedrich von Eichenwald; 9; Eleonore Elisabeth Therese Christiane von Bergetal; 3; Christian Jacob Clement von Kisatris; 40
 -245; Judith Juna von Möwenburg; 10; Ida Sibylle Anne von Tiefenfels; 10; Hermann Friedrich von Eichenwald; 10; Eleonore Elisabeth Therese Christiane von Bergetal; 4; Christian Jacob Clement von Kisatris; 41
 -244; Judith Juna von Möwenburg; 11; Ida Sibylle Anne von Tiefenfels; 11; Hermann Friedrich von Eichenwald; 11; Eleonore Elisabeth Therese Christiane von Bergetal; 5; Christian Jacob Clement von Kisatris; 42
 -243; Judith Juna von Möwenburg; 12; Ida Sibylle Anne von Tiefenfels; 12; Hermann Friedrich von Eichenwald; 12; Eleonore Elisabeth Therese Christiane von Bergetal; 6; Christian Jacob Clement von Kisatris; 43
 -242; Judith Juna von Möwenburg; 13; Ida Sibylle Anne von Tiefenfels; 13; Hermann Friedrich von Eichenwald; 13; Eleonore Elisabeth Therese Christiane von Bergetal; 7; Christian Jacob Clement von Kisatris; 44
 -241; Judith Juna von Möwenburg; 14; Ida Sibylle Anne von Tiefenfels; 14; Hermann Friedrich von Eichenwald; 14; Eleonore Elisabeth Therese Christiane von Bergetal; 8; Christian Jacob Clement von Kisatris; 45
 -240; Judith Juna von Möwenburg; 15; Ida Sibylle Anne von Tiefenfels; 15; Hermann Friedrich von Eichenwald; 15; Eleonore Elisabeth Therese Christiane von Bergetal; 9; Christian Jacob Clement von Kisatris; 46
 -239; Judith Juna von Möwenburg; 16; Ida Sibylle Anne von Tiefenfels; 16; Hermann Friedrich von Eichenwald; 16; Eleonore Elisabeth Therese Christiane von Bergetal; 10; Christian Jacob Clement von Kisatris; 47
 -238; Judith Juna von Möwenburg; 17; Ida Sibylle Anne von Tiefenfels; 17; Hermann Friedrich von Eichenwald; 17; Eleonore Elisabeth Therese Christiane von Bergetal; 11; Christian Jacob Clement von Kisatris; 48
 -237; Judith Juna von Möwenburg; 18; Ida Sibylle Anne von Tiefenfels; 18; Hermann Friedrich von Eichenwald; 18; Eleonore Elisabeth Therese Christiane von Bergetal; 12; Christian Jacob Clement von Kisatris; 49
 -236; Judith Juna von Möwenburg; 19; Ida Sibylle Anne von Tiefenfels; 19; Hermann Friedrich von Eichenwald; 19; Eleonore Elisabeth Therese Christiane von Bergetal; 13; Christian Jacob Clement von Kisatris; 50
 -235; Judith Juna von Möwenburg; 20; Ida Sibylle Anne von Tiefenfels; 20; Hermann Friedrich von Eichenwald; 20; Eleonore Elisabeth Therese Christiane von Bergetal; 14; Christian Jacob Clement von Kisatris; 51
 -234; Judith Juna von Möwenburg; 21; Ida Sibylle Anne von Tiefenfels; 21; Hermann Friedrich von Eichenwald; 21; Eleonore Elisabeth Therese Christiane von Bergetal; 15; Christian Jacob Clement von Kisatris; 52
 -233; Judith Juna von Möwenburg; 22; Ida Sibylle Anne von Tiefenfels; 22; Hermann Friedrich von Eichenwald; 22; Eleonore Elisabeth Therese Christiane von Bergetal; 16; Christian Jacob Clement von Kisatris; 53
 -232; Judith Juna von Möwenburg; 23; Ida Sibylle Anne von Tiefenfels; 23; Hermann Friedrich von Eichenwald; 23; Eleonore Elisabeth Therese Christiane von Bergetal; 17; Christian Jacob Clement von Kisatris; 54
 -231; Joachim Michael Fritz von Möwenburg; 1; Ida Sibylle Anne von Tiefenfels; 24; Hermann Friedrich von Eichenwald; 24; Eleonore Elisabeth Therese Christiane von Bergetal; 18; Christian Jacob Clement von Kisatris; 55
 -230; Joachim Michael Fritz von Möwenburg; 2; Ida Sibylle Anne von Tiefenfels; 25; Hermann Friedrich von Eichenwald; 25; Eleonore Elisabeth Therese Christiane von Bergetal; 19; Christian Jacob Clement von Kisatris; 56
 -229; Joachim Michael Fritz von Möwenburg; 3; Ida Sibylle Anne von Tiefenfels; 26; Hermann Friedrich von Eichenwald; 26; Eleonore Elisabeth Therese Christiane von Bergetal; 20; Christian Jacob Clement von Kisatris; 57
 -228; Joachim Michael Fritz von Möwenburg; 4; Camille Amalie von Tiefenfels; 1; Hermann Friedrich von Eichenwald; 27; Eleonore Elisabeth Therese Christiane von Bergetal; 21; Christian Jacob Clement von Kisatris; 58
 -227; Joachim Michael Fritz von Möwenburg; 5; Camille Amalie von Tiefenfels; 2; Hermann Friedrich von Eichenwald; 28; Eleonore Elisabeth Therese Christiane von Bergetal; 22; Christian Jacob Clement von Kisatris; 59
